Season,Date,Home,Away,TEAM,#,Athlete,MP,SP,Ace,S Err,S Att,S Rtg,S %,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,Kill,A Err,Att,H %,B Solo,B Assist,B Total,Assist,A Att,Digs,Sent,Received,Violations,BHE
2023-2024,2024-01-14,UNBSJ,Crandall,CU,9,Sam Reeder,1,1,0,1,1,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,1,6,1,1,-,-,2
2023-2024,2024-01-14,UNBSJ,Crandall,CU,14,Sam Tingley,1,4,1,4,12,1.5,0.667,0,0,0,0,0,-,1,0,3,0.333,0,0,0,23,64,4,0,-,-,1
2023-2024,2024-01-14,UNBSJ,Crandall,CU,13,Colby Rhese,1,4,2,3,11,1.82,0.727,0,0,0,1,1,0,7,6,23,0.043,1,0,1,0,0,2,1,-,-,0
2023-2024,2024-01-14,UNBSJ,Crandall,CU,17,Miguel Gionet,1,1,0,0,1,2,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,0
2023-2024,2024-01-14,UNBSJ,Crandall,CU,5,Austin Trites,1,4,0,0,0,-,-,13,17,8,1,39,2.08,0,0,1,0,0,0,0,2,5,9,6,-,-,0
2023-2024,2024-01-14,UNBSJ,Crandall,CU,6,Nate Haverko,1,1,0,0,0,-,-,0,0,1,2,3,0.33,0,0,0,-,0,0,0,0,0,0,0,-,-,0
2023-2024,2024-01-14,UNBSJ,Crandall,CU,11,Mason Stefaniuk,1,1,0,0,1,2,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,0
2023-2024,2024-01-14,UNBSJ,Crandall,CU,12,Noah MacDonald,1,4,1,5,11,1.45,0.545,0,0,0,0,0,-,6,1,10,0.5,1,1,2,0,1,0,0,-,-,1
2023-2024,2024-01-14,UNBSJ,Crandall,CU,10,Liam Rafferty,1,3,1,4,7,0.86,0.429,0,0,0,0,0,-,3,1,11,0.182,0,0,0,0,2,1,0,-,-,0
2023-2024,2024-01-14,UNBSJ,Crandall,CU,15,James Jeffrey,1,4,1,2,7,1.71,0.714,1,6,4,2,13,1.46,3,1,10,0.2,0,0,0,1,4,3,2,-,-,0
2023-2024,2024-01-14,UNBSJ,Crandall,UNBSJ,1,"Unknown , UNB",1,4,4,2,23,2.22,0.913,0,0,0,0,0,-,1,0,2,0.5,0,1,1,33,69,4,1,-,-,0
2023-2024,2024-01-14,UNBSJ,Crandall,UNBSJ,2,"Unknown , UNB",1,3,0,1,3,1.67,0.667,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,0
2023-2024,2024-01-14,UNBSJ,Crandall,UNBSJ,3,"Unknown , UNB",1,3,1,1,9,1.67,0.889,0,0,0,0,0,-,1,1,3,0,0,0,0,1,4,3,0,-,-,0
2023-2024,2024-01-14,UNBSJ,Crandall,UNBSJ,4,"Unknown , UNB",1,4,0,0,0,-,-,3,10,4,3,20,1.65,0,0,0,-,0,0,0,2,3,9,4,-,-,1
2023-2024,2024-01-14,UNBSJ,Crandall,UNBSJ,6,"Unknown , UNB",1,4,0,2,17,1.88,0.882,3,8,3,3,17,1.65,14,3,22,0.5,0,1,1,1,1,4,1,-,-,0
2023-2024,2024-01-14,UNBSJ,Crandall,UNBSJ,7,"Unknown , UNB",1,4,1,5,13,1.38,0.615,3,8,3,1,15,1.87,7,0,19,0.368,0,1,1,0,3,7,3,-,-,0
2023-2024,2024-01-14,UNBSJ,Crandall,UNBSJ,10,"Unknown , UNB",1,1,0,2,3,1,0.333,0,0,0,0,0,-,2,1,6,0.167,0,0,0,1,1,0,0,-,-,0
2023-2024,2024-01-14,UNBSJ,Crandall,UNBSJ,11,"Unknown , UNB",1,4,2,3,9,1.89,0.667,0,0,0,0,0,-,5,3,11,0.182,1,2,3,0,0,4,1,-,-,0
2023-2024,2024-01-14,UNBSJ,Crandall,UNBSJ,12,"Unknown , UNB",1,3,0,2,10,1.3,0.8,0,2,0,0,2,2,9,6,20,0.15,0,2,2,0,0,4,1,-,-,0
2023-2024,2024-01-14,UNBSJ,Crandall,UNBSJ,15,"Unknown , UNB",1,1,0,0,1,2,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,0
